#{"t_start": 1618914779.2449338, "env_id": "JSBSim-v1"}
r,l,t
0.154498,135,2702.561177
-10.125461,177,2715.530753
-0.809525,101,2759.12376
1.014641,133,2768.416315
-4.598141,152,2778.806254
2.614393,119,2787.284966
14.709693,12,2787.911493
-1.887836,150,2799.450185
-0.385149,158,2810.125787
-1.053105,111,2818.184758
-5.093155,156,2828.70519
-8.846001,124,2837.499733
0.177173,120,2846.028671
-0.271547,165,2858.322226
-1.804248,157,2868.943898
-3.250636,134,2878.294163
-1.904312,146,2888.271481
12.838817,47,2891.965146
13.728336,34,2894.96113
-0.313374,190,2908.658478
5.084989,25,2909.881179
-0.728182,90,2915.594526
-7.061595,158,2927.617593
-5.824523,175,2940.485177
-5.290778,134,2949.782188
-6.202655,144,2959.672765
-1.408173,105,2967.372577
-1.644889,181,2979.30527
1.068086,119,2987.79595
7.403751,2,2987.872946
12.652272,18,2990.079418
-4.317514,116,2997.132992
13.889791,45,3000.749672
-0.517289,80,3006.018985
-5.169931,157,3017.91129
7.402887,7,3018.284184
0.800881,121,3026.88733
-5.59328,131,3036.058628
-6.512834,92,3041.888977
0.301257,126,3050.703858
-10.269272,179,3063.886969
0.078874,96,3071.191475
-3.127424,104,3077.55076
-0.41384,158,3089.549252
-9.361026,120,3098.088745
0.757466,165,3108.969514
-4.816197,95,3116.202896
-0.715989,124,3124.992988
13.379881,20,3125.981114
-4.958881,160,3136.763381
9.264432,76,3143.157368
-1.210413,105,3149.564204
-5.793641,109,3157.50547
-2.234888,132,3166.670637
-0.501085,182,3180.115475
-4.263196,116,3188.821777
-4.047066,114,3195.830421
-13.918842,177,3209.105705
-8.726393,106,3216.836107
-0.53944,178,3230.227756
-0.219793,140,3240.055275
-2.664458,128,3249.164003
11.734302,39,3251.159473
0.794825,147,3262.58966
-1.384711,186,3276.041086
0.880548,163,3286.954862
11.671637,4,3287.126327
5.726254,44,3290.746203
-1.467227,126,3299.683417
-4.179718,123,3308.37708
1.936527,143,3318.182061
7.246033,1,3318.216601
6.353959,8,3318.621878
2.166748,140,3328.29856
11.800116,27,3330.962623
-7.436245,139,3340.598441
0.341985,180,3353.702749
12.304806,21,3354.75556
-6.099851,133,3364.238561
-4.610105,134,3373.530283
0.224992,206,3388.179499
-3.708997,181,3401.437599
14.451938,27,3404.084476
0.823786,168,3415.255513
-2.76454,138,3424.810845
1.98247,90,3431.798936
-6.301199,152,3442.128009
-0.994102,102,3449.687468
-0.470623,121,3458.247593
-7.906045,115,3507.796146
0.254628,181,3519.761502
-0.468943,144,3531.115939
-2.696079,142,3540.931102
-0.407454,156,3551.489488
-8.996427,173,3564.228685
-6.320239,142,3573.965325
-0.249652,169,3586.596756
-0.838139,180,3599.726974
-1.002225,202,3614.150197
0.449189,126,3623.101889
-2.19746,85,3628.607182
-11.786076,164,3640.917821
2.184987,122,3649.562519
-7.161398,199,3663.848277
-7.428888,126,3672.788569
-3.323755,85,3678.297613
13.230472,128,3687.372354
0.690949,112,3695.522149
2.396933,124,3704.349811
-7.585368,160,3715.054267
-4.508446,136,3724.526808
-5.806241,119,3733.036733
0.644891,134,3742.371259
0.92091,174,3755.192263
2.580231,123,3763.884214
-0.38557,132,3773.181751
-4.397562,139,3782.748006
1.49469,159,3794.801855
-3.32234,145,3804.724462
-5.809572,187,3818.316127
-0.045336,123,3827.059734
-2.265627,171,3838.467498
-4.60305,99,3845.890541
0.606844,174,3858.791706
-3.899111,125,3867.539494
-2.281865,175,3879.123749
1.143066,130,3888.256778
-0.441636,114,3896.491746
13.796837,15,3897.248936
13.170144,8,3898.993855
0.303778,102,3905.285502
-0.46965,176,3918.203265
9.003458,23,3919.345264
-2.124526,151,3930.922771
0.686432,146,3940.837213
-0.850268,131,3950.018393
1.806924,148,3960.055946
0.978505,201,3974.441304
-1.7068,143,3985.560299
-1.318088,143,3995.357228
0.96197,183,4008.699834
1.051087,174,4020.18004
2.68726,100,4027.683889
-1.364018,134,4037.022293
-8.959905,121,4045.664735
0.574002,121,4054.205906
1.374744,172,4066.921356
-7.099331,148,4077.105949
-4.367707,174,4089.923512
-1.580055,125,4098.73847
-1.500966,112,4105.493844
0.219124,187,4119.089303
-0.530617,118,4127.54882
-1.924829,126,4136.494031
